id,porepress1,soiltention1,h1x,h1y,h1z,inclination1x,inclination1y
264,4.62,92.7,0.022,0.098,0.028,0.52,0.03
265,4.62,92.7,0.022,0.098,0.028,0.52,0.03
266,4.62,92.7,0.022,0.098,0.028,0.52,0.03
267,4.62,92.7,0.022,0.098,0.028,0.52,0.03
268,4.62,92.7,0.022,0.098,0.028,0.52,0.03
269,4.62,92.7,0.022,0.098,0.028,0.52,0.03
270,4.62,92.7,0.022,0.098,0.028,0.52,0.03
271,4.62,92.7,0.022,0.098,0.028,0.52,0.03
272,4.62,92.7,0.022,0.098,0.028,0.52,0.03
273,4.62,92.7,0.022,0.098,0.028,0.52,0.03
274,4.62,92.7,0.022,0.098,0.028,0.52,0.03
275,4.62,92.7,0.022,0.098,0.028,0.52,0.03
276,4.62,92.7,0.022,0.098,0.028,0.52,0.03
277,4.62,92.7,0.022,0.098,0.028,0.52,0.03
278,4.62,92.7,0.022,0.098,0.028,0.52,0.03
279,4.62,92.7,0.022,0.098,0.028,0.52,0.03
280,4.62,92.7,0.022,0.098,0.028,0.52,0.03
281,4.62,92.7,0.022,0.098,0.028,0.52,0.03
282,4.62,92.7,0.022,0.098,0.028,0.52,0.03
283,4.62,92.7,0.022,0.098,0.028,0.52,0.03
284,4.69,88.73,0.072,0.025,0.025,0.579,0.03
285,4.69,88.73,0.072,0.025,0.025,0.579,0.03
286,4.69,88.73,0.072,0.025,0.025,0.579,0.03
287,4.69,88.73,0.072,0.025,0.025,0.579,0.03
288,4.69,88.73,0.072,0.025,0.025,0.579,0.03
289,4.69,88.73,0.072,0.025,0.025,0.579,0.03
290,4.69,88.73,0.072,0.025,0.025,0.579,0.03
291,4.69,88.73,0.072,0.025,0.025,0.579,0.03
292,4.62,86.78,0.022,0.005,0.025,0.52,0.03
293,4.69,88.73,0.072,0.025,0.025,0.579,0.03
294,4.69,88.73,0.072,0.025,0.025,0.579,0.03
295,4.69,88.73,0.072,0.025,0.025,0.579,0.03
296,4.62,86.78,0.022,0.005,0.025,0.52,0.03
297,4.62,92.7,0.022,0.098,0.028,0.52,0.03
298,4.69,88.73,0.072,0.025,0.025,0.579,0.03
299,4.62,86.78,0.022,0.005,0.025,0.52,0.03
300,4.62,92.7,0.022,0.098,0.028,0.52,0.03
301,4.62,92.7,0.022,0.098,0.028,0.52,0.03
302,4.62,92.7,0.022,0.098,0.028,0.52,0.03
303,4.62,92.7,0.022,0.098,0.028,0.52,0.03
304,4.62,92.7,0.022,0.098,0.028,0.52,0.03
305,4.62,92.7,0.022,0.098,0.028,0.52,0.03
306,4.62,92.7,0.022,0.098,0.028,0.52,0.03
307,4.62,92.7,0.022,0.098,0.028,0.52,0.03
308,4.62,92.7,0.022,0.098,0.028,0.52,0.03
309,4.62,92.7,0.022,0.098,0.028,0.52,0.03
310,4.62,92.7,0.022,0.098,0.028,0.52,0.03
311,4.62,92.7,0.022,0.098,0.028,0.52,0.03
312,4.62,92.7,0.022,0.098,0.028,0.52,0.03
313,4.62,92.7,0.022,0.098,0.028,0.52,0.03
314,4.62,92.7,0.022,0.098,0.028,0.52,0.03
315,4.62,92.7,0.022,0.098,0.028,0.52,0.03
316,4.62,92.7,0.022,0.098,0.028,0.52,0.03
317,4.62,92.7,0.022,0.098,0.028,0.52,0.03
318,4.62,92.7,0.022,0.098,0.028,0.52,0.03
319,4.62,92.7,0.022,0.098,0.028,0.52,0.03
320,4.62,92.7,0.022,0.098,0.028,0.52,0.03
321,4.62,92.7,0.022,0.098,0.028,0.52,0.03
322,4.69,88.73,0.072,0.025,0.025,0.579,0.03
323,4.62,86.78,0.022,0.005,0.025,0.52,0.03
324,4.62,92.7,0.022,0.098,0.028,0.52,0.03
325,4.62,92.7,0.022,0.098,0.028,0.52,0.03
326,4.62,92.7,0.022,0.098,0.028,0.52,0.03
327,4.62,92.7,0.022,0.098,0.028,0.52,0.03
328,4.62,92.7,0.022,0.098,0.028,0.52,0.03
329,4.69,88.73,0.072,0.025,0.025,0.579,0.03
330,4.62,86.78,0.022,0.005,0.025,0.52,0.03
331,4.62,92.7,0.022,0.098,0.028,0.52,0.03
332,4.62,92.7,0.022,0.098,0.028,0.52,0.03
333,4.62,92.7,0.022,0.098,0.028,0.52,0.03
334,4.62,92.7,0.022,0.098,0.028,0.52,0.03
335,4.62,92.7,0.022,0.098,0.028,0.52,0.03
336,4.62,92.7,0.022,0.098,0.028,0.52,0.03
337,4.62,92.7,0.022,0.098,0.028,0.52,0.03
338,4.62,92.7,0.022,0.098,0.028,0.52,0.03
339,4.62,92.7,0.022,0.098,0.028,0.52,0.03
340,4.62,92.7,0.022,0.098,0.028,0.52,0.03
341,4.62,92.7,0.022,0.098,0.028,0.52,0.03
342,4.62,92.7,0.022,0.098,0.028,0.52,0.03
343,4.62,92.7,0.022,0.098,0.028,0.52,0.03
344,4.62,92.7,0.022,0.098,0.028,0.52,0.03
345,4.62,86.78,0.022,0.005,0.025,0.52,0.03
346,4.69,88.73,0.072,0.025,0.025,0.579,0.03
347,4.62,92.7,0.022,0.098,0.028,0.52,0.03
348,4.62,92.7,0.022,0.098,0.028,0.52,0.03
349,4.62,92.7,0.022,0.098,0.028,0.52,0.03
350,4.62,92.7,0.022,0.098,0.028,0.52,0.03
351,4.62,92.7,0.022,0.098,0.028,0.52,0.03
352,4.62,92.7,0.022,0.098,0.028,0.52,0.03
353,4.62,92.7,0.022,0.098,0.028,0.52,0.03
354,4.62,92.7,0.022,0.098,0.028,0.52,0.03
355,4.62,92.7,0.022,0.098,0.028,0.52,0.03
356,4.62,92.7,0.022,0.098,0.028,0.52,0.03
357,4.62,92.7,0.022,0.098,0.028,0.52,0.03
358,4.62,92.7,0.022,0.098,0.028,0.52,0.03
359,4.62,92.7,0.022,0.098,0.028,0.52,0.03
360,4.62,86.78,0.022,0.005,0.025,0.52,0.03
361,4.62,92.7,0.022,0.098,0.028,0.52,0.03
362,4.62,92.7,0.022,0.098,0.028,0.52,0.03
363,4.62,86.78,0.022,0.005,0.025,0.52,0.03
364,4.62,86.78,0.022,0.005,0.025,0.52,0.03
365,4.62,86.78,0.022,0.005,0.025,0.52,0.03
366,4.62,92.7,0.022,0.098,0.028,0.52,0.03
367,4.62,92.7,0.022,0.098,0.028,0.52,0.03
368,4.62,92.7,0.022,0.098,0.028,0.52,0.03
369,4.62,92.7,0.022,0.098,0.028,0.52,0.03
370,4.62,92.7,0.022,0.098,0.028,0.52,0.03
371,4.62,92.7,0.022,0.098,0.028,0.52,0.03
372,4.62,92.7,0.022,0.098,0.028,0.52,0.03
373,4.62,92.7,0.022,0.098,0.028,0.52,0.03
374,4.62,86.78,0.022,0.005,0.025,0.52,0.03
375,4.62,92.7,0.022,0.098,0.028,0.52,0.03
376,4.62,92.7,0.022,0.098,0.028,0.52,0.03
377,4.62,92.7,0.022,0.098,0.028,0.52,0.03
378,4.62,92.7,0.022,0.098,0.028,0.52,0.03
379,4.62,92.7,0.022,0.098,0.028,0.52,0.03
380,4.62,92.7,0.022,0.098,0.028,0.52,0.03
381,4.62,92.7,0.022,0.098,0.028,0.52,0.03
382,4.62,92.7,0.022,0.098,0.028,0.52,0.03
383,4.62,92.7,0.022,0.098,0.028,0.52,0.03
384,4.62,86.78,0.022,0.005,0.025,0.52,0.03
385,4.62,92.7,0.022,0.098,0.028,0.52,0.03
386,4.62,92.7,0.022,0.098,0.028,0.52,0.03
387,4.62,92.7,0.022,0.098,0.028,0.52,0.03
388,4.62,92.7,0.022,0.098,0.028,0.52,0.03
389,4.62,92.7,0.022,0.098,0.028,0.52,0.03
390,4.62,92.7,0.022,0.098,0.028,0.52,0.03
391,4.62,86.78,0.022,0.005,0.025,0.52,0.03
392,4.62,92.7,0.022,0.098,0.028,0.52,0.03
393,4.62,92.7,0.022,0.098,0.028,0.52,0.03
394,4.62,92.7,0.022,0.098,0.028,0.52,0.03
395,4.62,92.7,0.022,0.098,0.028,0.52,0.03
396,4.62,92.7,0.022,0.098,0.028,0.52,0.03
397,4.62,92.7,0.022,0.098,0.028,0.52,0.03
398,4.62,92.7,0.022,0.098,0.028,0.52,0.03
399,4.62,92.7,0.022,0.098,0.028,0.52,0.03
400,4.62,92.7,0.022,0.098,0.028,0.52,0.03
